playerTeam,home_or_away,TotalGoalsFor,TotalGoalsAgainst
ANA,AWAY,21,3
ARI,AWAY,29,1
BOS,AWAY,24,3
BUF,AWAY,15,4
CAR,AWAY,37,5
CBJ,AWAY,12,4
CGY,AWAY,22,6
CHI,AWAY,16,4
COL,AWAY,30,4
DAL,AWAY,36,2
DET,AWAY,27,6
EDM,AWAY,33,2
FLA,AWAY,43,8
LAK,AWAY,27,1
MIN,AWAY,30,2
MTL,AWAY,18,3
NJD,AWAY,22,4
NSH,AWAY,26,1
NYI,AWAY,22,2
NYR,AWAY,30,2
OTT,AWAY,19,4
PHI,AWAY,7,2
PIT,AWAY,14,4
SEA,AWAY,18,3
SJS,AWAY,14,3
STL,AWAY,18,2
TBL,AWAY,32,3
TOR,AWAY,24,3
VAN,AWAY,27,4
VGK,AWAY,25,3
WPG,AWAY,21,3
WSH,AWAY,21,5
ANA,HOME,17,1
ARI,HOME,22,6
BOS,HOME,31,3
BUF,HOME,19,5
CAR,HOME,31,4
CBJ,HOME,17,2
CGY,HOME,19,5
CHI,HOME,17,3
COL,HOME,44,4
DAL,HOME,29,4
DET,HOME,25,4
EDM,HOME,46,2
FLA,HOME,31,4
LAK,HOME,25,6
MIN,HOME,23,7
MTL,HOME,24,8
NJD,HOME,24,4
NSH,HOME,31,3
NYI,HOME,25,0
NYR,HOME,37,1
OTT,HOME,29,1
PHI,HOME,19,2
PIT,HOME,23,8
SEA,HOME,30,6
SJS,HOME,25,3
STL,HOME,24,3
TBL,HOME,38,3
TOR,HOME,29,4
VAN,HOME,32,3
VGK,HOME,26,4
WPG,HOME,25,2
WSH,HOME,24,1